"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"33","","","UiO-66","NH2","","940","11","6","30.00%","","Matrimid 9725","","85","","3.07","","35","9","0.19 ","5.90 ","31.20 ","2.52 ","3.02 ","1.20 "
"34","","","UiO-66","NH2","","892","11","6","30.00%","BA","Matrimid 9725","","85","","2.88","","35","9","0.19 ","5.90 ","31.20 ","2.34 ","2.95 ","1.26 "
"35","","","UiO-66","NH2","","873","11","6","30.00%","ABA","Matrimid 9725","","85","","3.06","","35","9","0.19 ","5.90 ","31.20 ","4.21 ","6.44 ","1.53 "
"37","2017","4","UiO–66","","150","1150","11","6","5.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","1.54 ","1.60 ","1.04 "
"38","","","UiO–66","","150","1150","11","6","10.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","1.93 ","1.83 ","0.95 "
"39","","","UiO–66","","150","1150","11","6","20.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","4.07 ","2.67 ","0.66 "
"40","","","UiO-66","NH2","30","950","11","6","5.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","0.52 ","0.97 ","1.86 "
"41","","","UiO-66","NH2","30","950","11","6","10.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","0.49 ","0.95 ","1.93 "
"42","","","UiO-66","NH2","30","950","11","6","20.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","0.48 ","0.77 ","1.59 "
"43","","","UiO-66","NH2","30","950","11","6","30.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","0.47 ","0.73 ","1.55 "
"44","","","UiO-66","NH2","30","950","11","6","40.00%","","PIM-1-TT","","1","","","","25","4","206.90 ","3000.00 ","14.50 ","0.40 ","0.67 ","1.66 "
"46","2019","5","UiO-66","NH2","350","1200","11","6","10.00%","","Matrimid®5218","","100","","","","25","3","0.60 ","18.00 ","30.00 ","2.09 ","2.94 ","1.41 "
"47","","","UiO-66","NH2","350","980","11","6","5.00%","imidazole-2-carbaldehyde (ICA)","Matrimid®5218","","100","","","","25","3","0.60 ","18.00 ","30.00 ","1.46 ","2.19 ","1.50 "
"48","","","UiO-66","NH2","350","980","11","6","10.00%","","Matrimid®5218","","100","","","","25","3","0.60 ","18.00 ","30.00 ","1.03 ","2.17 ","2.10 "
"49","","","UiO-66","NH2","350","980","11","6","20.00%","","Matrimid®5218","","100","","","","25","3","0.60 ","18.00 ","30.00 ","1.59 ","2.22 ","1.40 "
"50","","","UiO-66","NH2","350","980","11","6","30.00%","","Matrimid®5218","","100","","","","25","3","0.60 ","18.00 ","30.00 ","2.22 ","2.94 ","1.33 "
"90","2019","9","UiO-66","(OH)2","324","537","11","6","10.00%","","6FDD","","50","","","","35","3","5.30 ","165.00 ","31.13 ","1.26 ","1.22 ","0.97 "
"91","","","UiO-66","(OH)2","324","537","11","6","20.00%","","6FDD","","50","","","","35","3","5.30 ","165.00 ","31.13 ","1.51 ","1.53 ","1.01 "
"92","","","UiO-66","(OH)2","324","537","11","6","30.00%","","6FDD","","50","","","","35","3","5.30 ","165.00 ","31.13 ","2.15 ","2.05 ","0.95 "
"93","","","UiO-66","(OH)2","324","537","11","6","40.00%","","6FDD","","50","","","","35","3","5.30 ","165.00 ","31.13 ","2.55 ","2.43 ","0.95 "
"94","","","UiO-66","(OH)2","324","537","11","6","50.00%","","6FDD","","50","","","","35","3","5.30 ","165.00 ","31.13 ","3.81 ","3.94 ","1.03 "
"103","2018","11","UiO-66","","100","1500","11","6","5.00%","","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","1.04 ","1.07 ","1.03 "
"104","","","UiO-66","","100","1500","11","6","11.00%","","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","1.06 ","1.33 ","1.25 "
"105","","","UiO-66","","100","1500","11","6","15.00%","","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","1.23 ","1.49 ","1.22 "
"106","","","UiO-66","","100","1500","11","6","21.00%","","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","2.29 ","2.05 ","0.90 "
"107","","","UiO-66","NH2","","889","11","6","20.00%","","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","1.15 ","2.15 ","1.87 "
"108","","","UiO-66","GMA","","965","11","6","28.00%","glycidyl methacrylate","PMMA","","150","","","","24.0 ","4.0 ","0.01 ","0.55 ","68.75 ","0.97 ","2.04 ","2.09 "
"110","2012","12","UiO-66","","200","857","11","6","25.00%","","6FDA–ODA","","30","","","","35","11.2","0.33 ","14.40 ","43.64 ","3.33 ","3.50 ","1.05 "
"111","","","UiO-66","NH2","200","826","11","6","25.00%","","6FDA–ODA","","30","","","","35","11.2","0.33 ","14.40 ","43.64 ","0.82 ","0.95 ","1.16 "
"112","","","UiO-67 ","","1000","1998","21","11.7","25.00%","","6FDA–ODA","","30","","","","35","11.2","0.33 ","14.40 ","43.64 ","4.24 ","1.44 ","0.34 "
"113","","","HKUST-1","","15000","809","9.5","3.5","25.00%","","6FDA–ODA","","30","","","","35","11.2","0.33 ","14.40 ","43.64 ","1.30 ","1.51 ","1.16 "
"114","","","HKUST-1","NH2","15000","650","","","25.00%","","6FDA–ODA","","30","","","","35","11.2","0.33 ","14.40 ","43.64 ","1.36 ","1.85 ","1.35 "
"134","2015","15","UiO-66","","100","1263","11","6","2.50%","/","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.25 ","1.38 ","1.10 "
"135","","","UiO-66","","100","1263","11","6","4.60%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.29 ","1.48 ","1.14 "
"136","","","UiO-66","","100","1263","11","6","10.70%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.50 ","1.42 ","0.95 "
"137","","","UiO-66","","100","1263","11","6","20.30%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.38 ","1.15 ","0.84 "
"138","","","UiO-66","","100","1263","11","6","2.40%","Ti-exchanged 1%","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.92 ","1.33 ","0.69 "
"139","","","UiO-66","","100","1263","11","6","4.80%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.75 ","2.86 ","1.04 "
"140","","","UiO-66","","100","1263","11","6","10.00%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.38 ","2.26 ","0.95 "
"141","","","UiO-66","","100","1263","11","6","13.80%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.46 ","1.25 ","0.85 "
"142","","","UiO-66","","100","1359","11","6","2.50%","Ti-exchanged 5%","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","3.67 ","2.03 ","0.55 "
"143","","","UiO-66","","100","1359","11","6","5.00%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","5.08 ","3.74 ","0.74 "
"144","","","UiO-66","","100","1359","11","6","10.00%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.50 ","1.77 ","1.18 "
"145","","","UiO-66","","100","1359","11","6","13.30%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","0.96 ","1.08 ","1.12 "
"146","","","UiO-66","","100","1328","11","6","2.60%","Ti-exchanged 10%","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.42 ","2.39 ","0.99 "
"147","","","UiO-66","","100","1328","11","6","5.10%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.62 ","2.18 ","0.83 "
"148","","","UiO-66","","100","1328","11","6","10.10%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.00 ","1.91 ","0.95 "
"149","","","UiO-66","","100","1328","11","6","13.30%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","5.79 ","4.07 ","0.70 "
"150","","","UiO-66","","100","1249","11","6","2.40%","Ti-exchanged 15%","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.92 ","2.99 ","1.02 "
"151","","","UiO-66","","100","1249","11","6","5.10%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.04 ","1.96 ","0.96 "
"152","","","UiO-66","","100","1249","11","6","9.70%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","2.50 ","2.07 ","0.83 "
"153","","","UiO-66","","100","1249","11","6","13.90%","","PIM-1-TT","","","","","","25.0 ","2.0 ","240.00 ","3620.00 ","15.08 ","1.08 ","0.85 ","0.78 "
"155","2019","16","UiO-66","","1250","1476","11","6","10.00%","/","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","1.47 ","1.51 ","1.02 "
"156","","","UiO-66","","1250","1476","11","6","20.00%","","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","1.99 ","2.16 ","1.08 "
"157","","","UiO-66","","1250","1476","11","6","30.00%","","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","2.51 ","3.07 ","1.22 "
"158","","","UiO-66","","1250","1156","11","6","10.00%","/-SO3H functionalized  mercaptopropyl trimethoxysilane
(MPTMS)","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","1.24 ","1.44 ","1.16 "
"159","","","UiO-66","","1250","1156","11","6","20.00%","","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","1.55 ","2.12 ","1.37 "
"160","","","UiO-66","","1250","1156","11","6","30.00%","","PSF","","","","","","25","10","0.23 ","5.70 ","24.90 ","1.77 ","2.95 ","1.67 "
"162","2019","17","UiO-66","","185","1300","11","6","10.00%","","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","1.53 ","1.59 ","1.04 "
"163","","","UiO-67","","185","1300","21","11.5","10.00%","","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","1.08 ","1.50 ","1.38 "
"164","","","UiO-67","","185","1300","21","11.5","10.00%","bpydc 18%","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","0.90 ","1.51 ","1.67 "
"165","","","UiO-67","","185","1570","21","11.5","10.00%","bpydc 33%","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","0.83 ","1.57 ","1.90 "
"166","","","UiO-67","","185","1570","21","11.5","20.00%","","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","1.97 ","2.62 ","1.33 "
"167","","","UiO-67","","185","1570","21","11.5","30.00%","","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","4.16 ","4.38 ","1.05 "
"168","","","UiO-67","","185","1600","21","11.5","10.00%","bpydc 63%","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","0.81 ","1.41 ","1.74 "
"169","","","UiO-67","","185","1600","21","11.5","10.00%","bpydc 83%","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","0.69 ","1.16 ","1.67 "
"170","","","UiO-67","","185","1800","21","11.5","10.00%","bpydc 100%","Matrimid 5218","","","","","","30","2.5","0.41 ","16.00 ","39.00 ","0.80 ","1.25 ","1.56 "
"172","2018","18","UiO-66","","50","1325","11","6","20.00%","","PIM-1-TD","","","","","","25.0 ","4.0 ","536.00 ","6576.00 ","12.27 ","1.14 ","1.08 ","0.95 "
"173","","","UiO-66","NH2","1000","348","11","6","20.00%","DCTB 12Hrs","PIM-1-TD","","","","","","25.0 ","4.0 ","536.00 ","6576.00 ","12.27 ","1.18 ","1.20 ","1.02 "
"174","","","UiO-66","NH2","1000","1200,","11","6","20.00%","","PIM-1-TD","","","","","","25.0 ","4.0 ","536.00 ","6576.00 ","12.27 ","1.19 ","1.16 ","0.98 "
"176","","","UiO-66","NH2","1000","1090","11","6","20.00%","CROSSLINK 12Hrs","PIM-1-TD","","","","","","25.0 ","4.0 ","536.00 ","6576.00 ","12.27 ","1.54 ","2.40 ","1.56 "
"177","","","UiO-66","NH2","1000","920","11","6","20.00%","CROSSLINK 72Hrs","PIM-1-TD","","","","","","25.0 ","4.0 ","536.00 ","6576.00 ","12.27 ","0.73 ","1.90 ","2.60 "
"179","2015","19","UiO-66","","200","1135","11","6","12%","/","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","1.94 ","2.25 ","1.16 "
"180","","","UiO-66","","200","1135","11","6","23.00%","","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","2.30 ","2.90 ","1.26 "
"181","","","UiO-66","","200","1135","11","6","40.00%","","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","3.65 ","3.52 ","0.96 "
"182","","","UiO-66","NH2","200","962","11","6","12%","phenyl acetyl group (IPA)","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","2.30 ","2.62 ","1.14 "
"183","","","UiO-66","NH2","200","962","11","6","23.00%","","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","2.83 ","3.62 ","1.28 "
"184","","","UiO-66","NH2","200","962","11","6","40.00%","","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","4.05 ","3.98 ","0.98 "
"185","","","UiO-66","NH2","200","1079","11","6","23.00%","decanoyl acetyl group (IC10)","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","2.86 ","2.79 ","0.98 "
"186","","","UiO-66","NH2","200","82","11","6","23.00%","succinic acid group (ISA).","Matrimid 5218","","","","","","25","11.2","0.28 ","8.00 ","28.50 ","2.22 ","2.44 ","1.10 "
