"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"212","","","KAUST-7","","80","248","4.7","4.7","33.00%","","6FDA-Durene","","50","","1.55","","35","2","31.46 ","755.00 ","24.00 ","0.64 ","1.66 ","2.58 "
"214","2018","22","NUS-8","","5000","664","6","6","0.50%","","PIM-1-TT","","65","","","","25","1","272.11 ","4000.00 ","14.70 ","1.01 ","1.20 ","1.19 "
"215","","","NUS-8","","5000","664","6","6","1.00%","","PIM-1-TT","","65","","","","25","1","272.11 ","4000.00 ","14.70 ","0.76 ","1.30 ","1.71 "
"216","","","NUS-8","","5000","664","6","6","2.00%","","PIM-1-TT","","65","","","","25","1","272.11 ","4000.00 ","14.70 ","0.79 ","1.62 ","2.05 "
"217","","","NUS-8","","5000","664","6","6","5.00%","","PIM-1-TT","","65","","","","25","1","272.11 ","4000.00 ","14.70 ","1.75 ","2.12 ","1.22 "
"224","2017","23","Co4(μ4-O)(Me2pzba)3","","3000","1850","14","6","8.00%","","Matrimid 5218","","66","","","","30","3","0.21 ","8.70 ","41.43 ","0.81 ","1.11 ","1.38 "
"225","","","Co4(μ4-O)(Me2pzba)3","","3000","1850","14","6","16.00%","","Matrimid 5218","","75","","","","30","3","0.21 ","8.70 ","41.43 ","0.86 ","1.22 ","1.42 "
"226","","","Co4(μ4-O)(Me2pzba)3","","3000","1850","14","6","24.00%","","Matrimid 5218","","90","","","","30","3","0.21 ","8.70 ","41.43 ","1.05 ","1.49 ","1.43 "
"228","2018","24","Fe-BTC","","200","1500","8.5","5.8","5.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","1.09 ","1.14 ","1.05 "
"229","","","Fe-BTC","","200","1500","8.5","5.8","10.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","1.11 ","1.16 ","1.05 "
"230","","","Fe-BTC","","200","1500","8.5","5.8","15.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","1.12 ","1.27 ","1.13 "
"231","","","Fe-BTC","","200","1500","8.5","5.8","20.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","1.15 ","1.39 ","1.21 "
